DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-25T02:00:30-05:00,17,25,17,21,,25,17,17,21,13,13,9,,,13,5,5,13,13
2023-05-25T02:01:00-05:00,17,21,17,17,,25,21,17,17,17,17,9,,,13,9,5,13,13
2023-05-25T02:01:30-05:00,17,21,17,13,,21,17,13,21,17,17,5,,,13,5,9,17,9
2023-05-25T02:02:00-05:00,17,21,17,17,,21,17,17,17,17,17,5,,,13,9,9,17,13
2023-05-25T02:02:30-05:00,17,25,21,17,,21,17,13,17,13,13,5,,,13,5,13,17,13
2023-05-25T02:03:00-05:00,17,21,17,17,,21,17,13,21,17,13,9,,,13,5,13,17,13
2023-05-25T02:04:00-05:00,17,21,17,21,,17,17,13,21,17,17,9,,,13,5,9,13,13
2023-05-25T02:04:30-05:00,17,21,17,17,,21,17,9,21,17,21,5,,,13,5,13,13,13
2023-05-25T02:05:00-05:00,17,21,17,17,,21,21,9,17,17,17,9,,,13,9,9,9,9
2023-05-25T02:05:30-05:00,17,21,17,17,,21,21,9,21,21,17,9,,,13,5,13,13,13
2023-05-25T02:06:00-05:00,17,21,17,17,,25,21,13,17,21,17,9,,,13,9,17,13,13
2023-05-25T02:06:30-05:00,17,21,17,17,,21,25,17,17,25,21,9,,,13,9,13,9,13
2023-05-25T02:07:00-05:00,17,17,21,17,,21,21,13,17,30,21,9,,,17,9,13,13,13
2023-05-25T02:07:30-05:00,17,17,17,17,,21,21,17,17,34,21,9,,,13,5,17,9,13
2023-05-25T02:08:00-05:00,17,17,17,17,,25,25,17,21,34,17,9,,,13,5,13,9,9
2023-05-25T02:08:30-05:00,17,17,17,17,,25,21,17,17,38,13,9,,,17,9,13,9,13
